Sl no,District,Month,No. of Female patient (Indoor admission),No. of Child patient (Indoor admission),No. of BCC,BCC performed by SACMO,"Counseling on IYCF, IFA, Vitamin-A & Hand washing",Received IFA (Pregnant & Child mother),Received MNP Sachet (6-23 months),Breast feeding within 1-hour of birth (0-<6 months child),Exclusive Breast feeding up to 6 months,Complimentary feeding after 6 months,Feeding Tablet Vitamin A (6-59months Child),Received Tablet anti-helminthics (24-59months Child),Feeding Zink pill with ORS suffering form diarrhoea,Identifying Suffering from MAM,Suffering from SAM & Referred,Identifying Child Stunting,Identifying Child Wasting,Identifying Child Under weight
Mymensingh DistrictSeptember 2017,Mymensingh District,September 2017,94,0,358,352,4098,6124,204,894,966,1954,67,1469,156,113,57,122,165,116
Netrokona DistrictSeptember 2017,Netrokona District,September 2017,49,0,88,40,2092,5380,304,1313,1977,3133,80,691,15,121,42,111,83,86
Mymensingh DivisionSeptember 2017,Mymensingh Division,September 2017,497,162,796,586,11114,18834,1338,5172,6333,13184,576,3144,280,564,411,432,379,484
Jamalpur DistrictOctober 2017,Jamalpur District,October 2017,293,213,365,136,3387,4979,350,2328,2870,6954,40,560,60,99,288,103,66,76
Sherpur DistrictOctober 2017,Sherpur District,October 2017,0,0,94,66,2773,3996,4,574,1170,2166,0,390,6,230,37,133,123,133
Mymensingh DistrictOctober 2017,Mymensingh District,October 2017,283,38,305,192,4375,6432,160,800,1013,2086,10,1538,108,116,57,91,105,134
Netrokona DistrictOctober 2017,Netrokona District,October 2017,132,0,105,47,2057,5637,105,1468,1999,3420,57,778,29,122,32,105,104,130
Mymensingh DivisionOctober 2017,Mymensingh Division,October 2017,708,251,869,441,12592,21044,619,5170,7052,14626,107,3266,203,567,414,432,398,473
Jamalpur DistrictNovember 2017,Jamalpur District,November 2017,214,165,215,161,3606,5700,735,2656,2979,6870,14,341,48,113,290,96,66,73
Sherpur DistrictNovember 2017,Sherpur District,November 2017,19,0,101,68,934,3037,0,714,650,1159,0,236,8,179,6,115,206,160
Mymensingh DistrictNovember 2017,Mymensingh District,November 2017,91,12,342,275,4450,5130,53,1270,970,2219,4,1111,78,115,37,109,141,156
Netrokona DistrictNovember 2017,Netrokona District,November 2017,87,0,135,42,2166,6641,98,1557,2123,3470,0,638,13,122,37,104,76,86
